domain,to_crawl,crawled,references
http://www.dsd.gov.za,1.0,1.0,2.0
https://www.pepfar.gov,1.0,1.0,2.0
https://www.viivhealthcare.com,1.0,1.0,2.0
https://dailycollegian.com,1.0,0.0,1.0
https://californiahealthline.org,1.0,1.0,1.0
https://www.healthcare-informatics.com,1.0,1.0,1.0
https://unmiss.unmissions.org,1.0,1.0,1.0
https://supershe.com,1.0,1.0,1.0
https://www.cgdev.org,1.0,1.0,1.0
https://www.duke-nus.edu.sg,1.0,1.0,1.0
https://www.dcri.org,1.0,1.0,1.0
https://www.malecircumcision.org,1.0,1.0,1.0
https://duke.edu,1.0,1.0,1.0
https://connection.asco.org,1.0,1.0,1.0
https://www.eqca.org,1.0,0.0,1.0
https://bmcpsychiatry.biomedcentral.com,1.0,0.0,1.0
https://arlg.org,1.0,0.0,1.0
https://health.spectator.co.uk,1.0,1.0,1.0
https://www.thehealthymaven.com,1.0,0.0,1.0
https://ppc.sas.upenn.edu,1.0,0.0,1.0
https://www.dhsprogram.com,1.0,1.0,1.0
https://www.nichd.nih.gov,1.0,1.0,1.0
https://www.bostonglobe.com,1.0,1.0,1.0
https://www.ghfp.net,1.0,1.0,1.0
https://africacheck.org,1.0,0.0,1.0
https://www.globalwomenshealthtechnologies.com,1.0,1.0,1.0
https://www.horsetalk.co.nz,1.0,1.0,1.0
https://www.id-hub.com,1.0,1.0,1.0
https://www.carbonbrief.org,1.0,1.0,1.0
https://ejournals.library.ualberta.ca,1.0,0.0,1.0
https://nawrs.org,1.0,0.0,1.0
https://www.medscape.com,1.0,0.0,1.0
https://www.astrazeneca.com,1.0,0.0,1.0
https://www.celgene.com,1.0,0.0,1.0
https://socialwork.utexas.edu,1.0,0.0,1.0
https://inequality.stanford.edu,1.0,0.0,1.0
https://crcaih.org,1.0,0.0,1.0
https://www.ccphealth.org,1.0,0.0,1.0
https://scholarlyrepository.miami.edu,1.0,0.0,1.0
https://www.healthymarriageandfamilies.org,1.0,0.0,1.0
https://opressrc.org,1.0,0.0,1.0
https://icma.org,1.0,0.0,1.0
https://ourarchive.otago.ac.nz,1.0,0.0,1.0
https://futureofchildren.princeton.edu,1.0,0.0,1.0
https://www.icf.com,1.0,0.0,1.0
https://us.hitleaders.news,1.0,0.0,1.0
https://www.genomeweb.com,1.0,0.0,1.0
https://goalqpc.com,1.0,0.0,1.0
https://cmahc.org,1.0,0.0,1.0
https://usa.childcareaware.org,1.0,0.0,1.0
https://www.epilepsy.com,1.0,0.0,1.0
https://archive.ahrq.gov,1.0,0.0,1.0
https://lib.asu.edu,1.0,0.0,1.0
https://www.aaip.org,1.0,0.0,1.0
https://www.silverscreenandroll.com,1.0,1.0,1.0
https://nbmecommunity.nature.com,1.0,0.0,1.0
https://www.indiatimes.com,1.0,1.0,1.0
https://landscapearchitecturemagazine.org,1.0,0.0,1.0
https://asla.org,1.0,0.0,1.0
https://thefield.asla.org,1.0,0.0,1.0
https://geneticliteracyproject.org,1.0,0.0,1.0
https://www.project-syndicate.org,1.0,0.0,1.0
https://www.newera.com.na,1.0,0.0,1.0
https://inhomelandsecurity.com,1.0,0.0,1.0
https://www.icrc.org,1.0,1.0,1.0
https://www.aics.gov.it,1.0,1.0,1.0
https://medicalresearch.com,1.0,0.0,1.0
https://www.newyorker.com,1.0,1.0,1.0
https://publichealth.jmir.org,1.0,0.0,1.0
https://www.HHS.gov,1.0,0.0,1.0
https://www.theringer.com,1.0,1.0,1.0
https://americangeophysicalunion.tumblr.com,1.0,1.0,1.0
https://www.archive.niams.nih.gov,1.0,0.0,1.0
https://www.moneycrashers.com,1.0,0.0,1.0
https://www.jbhe.com,1.0,1.0,1.0
https://penncurrent.upenn.edu,1.0,0.0,1.0
https://www.acria.org,1.0,1.0,1.0
https://www.stripes.com,1.0,1.0,1.0
https://psychcentral.com,1.0,1.0,1.0
https://dirt.asla.org,1.0,0.0,1.0
https://www.foi.gov.ph,1.0,0.0,1.0
https://diversityprogramconsortium.org,1.0,0.0,1.0
https://www.brightsideofthesun.com,1.0,1.0,1.0
https://free.unaids.org,1.0,1.0,1.0
https://www.lep.gov,1.0,0.0,1.0
https://mashable.com,1.0,0.0,1.0
https://www.muslimaid.org,1.0,0.0,1.0
https://medicine.iu.edu,1.0,0.0,1.0
https://www.aidshealth.org,1.0,0.0,1.0
http://impaactnetwork.org,1.0,0.0,1.0
https://www.nchponline.org,1.0,0.0,1.0
https://www.veggieinspired.com,1.0,1.0,1.0
https://www.mercurynews.com,1.0,0.0,1.0
https://aidsinfo.nih.gov,1.0,1.0,1.0
https://www.avert.org,1.0,0.0,1.0
https://socialsciences.ucla.edu,1.0,0.0,1.0
https://www.oculus.com,1.0,1.0,1.0
https://www.reporter-ohne-grenzen.de,1.0,1.0,1.0
https://www.thelocal.es,1.0,1.0,1.0
https://www.iom.int,1.0,1.0,1.0
https://www.beckershospitalreview.com,1.0,1.0,1.0
https://www.thedreamshake.com,1.0,1.0,1.0
https://globalhealth.washington.edu,1.0,1.0,1.0
https://eos.org,1.0,1.0,1.0
https://www.mtu.edu,1.0,0.0,1.0
https://managedcaremag.com,1.0,0.0,1.0
https://www.centerforhealthjournalism.org,1.0,0.0,1.0
https://blogs.cardiff.ac.uk,1.0,1.0,1.0
https://publichealthawakened.com,1.0,0.0,1.0
https://knowledge.amia.org,1.0,0.0,1.0
https://www.fiercehealthcare.com,1.0,0.0,1.0
https://www.itnonline.com,1.0,0.0,1.0
https://amia.org,1.0,0.0,1.0
https://www.self.com,1.0,1.0,1.0
https://archivesholdings.worldbank.org,1.0,1.0,1.0
https://www.factcheck.org,1.0,0.0,1.0
https://www.vasculitisfoundation.org,1.0,0.0,1.0
https://damndelicious.net,1.0,0.0,1.0
https://www.unv.org,1.0,0.0,1.0
https://www.cookincanuck.com,1.0,0.0,1.0
https://latinoaids.org,1.0,0.0,1.0
https://gi.org,1.0,1.0,1.0
https://www.gatesfoundation.org,1.0,0.0,1.0
https://www.marinhhs.org,1.0,0.0,1.0
https://www.health.ny.gov,1.0,0.0,1.0
https://www.acquisition.gov,1.0,1.0,1.0
https://www.advancingpartners.org,1.0,0.0,1.0
https://fitfoodiefinds.com,1.0,0.0,1.0
http://jech.bmj.com,1.0,1.0,1.0
https://www.advocate.com,1.0,0.0,1.0
https://www.psychologytoday.com,1.0,1.0,1.0
https://www.si.com,1.0,1.0,1.0
https://www.wired.com,1.0,1.0,1.0
https://www.pciglobal.org,1.0,1.0,1.0
https://jhpn.biomedcentral.com,1.0,0.0,1.0
https://www.alz.org,1.0,0.0,1.0
https://www.spi.ox.ac.uk,1.0,1.0,1.0
https://www.diningoutforlife.com,1.0,1.0,1.0
https://agri.idaho.gov,1.0,0.0,1.0
https://mhealth.md2k.org,1.0,0.0,1.0
