domain,hiv,ngo,health,aids,gov,data
https://www.bmub.bund.de,1,0,0,0,0,4
https://www.otsuka-us.com,0,0,10,0,0,2
https://www.bookdepository.com,0,0,3,0,0,0
https://tmfrefmodel.com,3,0,0,0,0,11
https://catalyst.phrma.org,1,2,16,1,0,5
https://www.opera.com,0,0,0,0,1,4
https://mixpanel.com,0,1,0,0,0,19
https://music.amazon.es,3,1,0,0,0,163
https://www.letstalkaboutcost.org,0,0,20,0,4,8
https://www.acscan.org,0,0,10,0,1,0
https://www.amazon.nl,0,0,0,0,0,265
https://www.amazon.it,5,2,0,0,0,266
https://podigy.co,0,0,0,0,0,5
https://aws.amazon.com,12,0,24,0,8,99
https://www.iberlibro.com,1,0,0,0,0,2
https://www.biogen-international.com,0,0,1,0,0,9
https://www.insuresilience.org,0,1,0,0,1,6
https://es.amazonforum.com,0,0,0,0,0,1
https://psychology.clas.asu.edu,5,0,3,0,0,9
https://www.amazon.co.jp,0,0,4,0,0,285
https://www.astellas.com,0,0,4,0,2,7
https://www.ipsen.com,0,0,3,0,1,15
https://weworkforhealth.org,0,0,8,0,2,0
https://www.iactc.org,0,0,6,0,2,8
https://www.engie.com,1,0,0,0,0,9
https://www.climatetalkslive.org,0,1,0,0,5,98
https://www.axa.com,0,1,2,0,2,6
https://www.cdsb.net,0,1,0,0,1,10
https://www.bayer.com,13,1,24,0,3,21
https://innovation.org,0,0,4,0,0,5
https://ga.berkeley.edu,0,0,1,0,1,3
https://group.bnpparibas,0,0,0,0,0,2
https://www.unido.org,0,1,0,0,1,3
https://onlinereg.unfccc.int,0,1,0,0,0,1
https://www.globalcovenantofmayors.org,0,0,1,0,13,11
https://www.unisdr.org,0,0,0,0,2,1
https://collectivehealth.com,0,0,56,0,0,10
https://talanoadialogue.com,0,4,0,0,0,33
https://www.theclimategroup.org,0,0,0,0,1,2
https://globalabc.org,0,0,0,0,0,0
https://www.epri.com,0,0,0,0,0,1
https://www.americaspledgeonclimate.com,0,1,1,0,2,14
https://www.paintcare.org,0,0,0,0,0,4
https://nfpartnership.org,0,0,0,0,4,13
https://www.fsb-tcfd.org,0,0,0,0,0,11
https://teads.tv,0,0,0,0,0,3
https://one.npr.org,0,0,0,0,0,0
https://mpr.tfaforms.net,0,0,0,0,0,0
https://globalclimateactionsummit.org,0,0,0,0,10,3
https://www.barracuda.com,32,2,4,0,5,65
https://ecomobility.org,3,0,0,0,1,16
https://www.propertynews.com,0,7,0,0,0,2
https://heller.brandeis.edu,1,0,8,0,0,2
https://www.nijobfinder.co.uk,0,1,6,0,0,3
